STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,SECTOR,Institutional sector,STANDARD_REVENUE,Revenue category,CTRY_SPECIFIC_REVENUE,Country-specific revenue category,UNIT_MEASURE,Unit of measure,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,REVENUE_CODE,Revenue code,DECIMALS,Decimals
DATAFLOW,OECD.CTP.TPS:DSD_REV_LAC@DF_REVVEN(2.0),Venezuela - tax revenues,I,VEN,Venezuela,TAX_REV,Tax revenue,S13,General government,T_4600,Other recurrent taxes on property,_T,Total,VEF,Bolivar fuerte,A,Annual,2009,,0,,A,Normal value,6,Millions,4600,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_LAC@DF_REVVEN(2.0),Venezuela - tax revenues,I,VEN,Venezuela,TAX_REV,Tax revenue,S13,General government,T_5112,Sales taxes,_T,Total,VEF,Bolivar fuerte,A,Annual,2009,,0,,A,Normal value,6,Millions,5112,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_LAC@DF_REVVEN(2.0),Venezuela - tax revenues,I,VEN,Venezuela,TAX_REV,Tax revenue,S13,General government,T_5113,Turnover and other general taxes on goods and services,_T,Total,VEF,Bolivar fuerte,A,Annual,2009,,0,,A,Normal value,6,Millions,5113,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_LAC@DF_REVVEN(2.0),Venezuela - tax revenues,I,VEN,Venezuela,TAX_REV,Tax revenue,S13,General government,T_6000,Other taxes,_T,Total,VEF,Bolivar fuerte,A,Annual,2009,,0,,A,Normal value,6,Millions,6000,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_LAC@DF_REVVEN(2.0),Venezuela - tax revenues,I,VEN,Venezuela,TAX_REV,Tax revenue,S13,General government,T_4400,Taxes on financial and capital transactions,_T,Total,VEF,Bolivar fuerte,A,Annual,2009,,0,,A,Normal value,6,Millions,4400,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_LAC@DF_REVVEN(2.0),Venezuela - tax revenues,I,VEN,Venezuela,TAX_REV,Tax revenue,S13,General government,T_5125,Taxes on investment goods,_T,Total,VEF,Bolivar fuerte,A,Annual,2009,,0,,A,Normal value,6,Millions,5125,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_LAC@DF_REVVEN(2.0),Venezuela - tax revenues,I,VEN,Venezuela,TAX_REV,Tax revenue,S13,General government,T_5200,"Taxes on use of goods, or on permission to use goods or perform activities",_T,Total,VEF,Bolivar fuerte,A,Annual,2009,,0,,A,Normal value,6,Millions,5200,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_LAC@DF_REVVEN(2.0),Venezuela - tax revenues,I,VEN,Venezuela,TAX_REV,Tax revenue,S13,General government,T_5300,"Unallocable between taxes on production, sale, transfer, leasing and delivery of goods and rendering of services and taxes on use of goods, or on permission to use goods, or perform activities",_T,Total,VEF,Bolivar fuerte,A,Annual,2009,,0,,A,Normal value,6,Millions,5300,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_LAC@DF_REVVEN(2.0),Venezuela - tax revenues,I,VEN,Venezuela,TAX_REV,Tax revenue,S13,General government,T_5130,Unallocable between general taxes and taxes on specific goods and services,_T,Total,VEF,Bolivar fuerte,A,Annual,2009,,0,,A,Normal value,6,Millions,5130,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_LAC@DF_REVVEN(2.0),Venezuela - tax revenues,I,VEN,Venezuela,TAX_REV,Tax revenue,S13,General government,T_5128,Other taxes on specific goods and services,_T,Total,VEF,Bolivar fuerte,A,Annual,2009,,0,,A,Normal value,6,Millions,5128,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_LAC@DF_REVVEN(2.0),Venezuela - tax revenues,I,VEN,Venezuela,TAX_REV,Tax revenue,S13,General government,T_5122,Profits of fiscal monopolies,_T,Total,VEF,Bolivar fuerte,A,Annual,2009,,0,,A,Normal value,6,Millions,5122,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_LAC@DF_REVVEN(2.0),Venezuela - tax revenues,I,VEN,Venezuela,TAX_REV,Tax revenue,S13,General government,T_4500,Other non-recurrent taxes on property,_T,Total,VEF,Bolivar fuerte,A,Annual,2009,,0,,A,Normal value,6,Millions,4500,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_LAC@DF_REVVEN(2.0),Venezuela - tax revenues,I,VEN,Venezuela,TAX_REV,Tax revenue,S13,General government,T_4200,Recurrent taxes on net wealth,_T,Total,VEF,Bolivar fuerte,A,Annual,2009,,0,,A,Normal value,6,Millions,4200,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_LAC@DF_REVVEN(2.0),Venezuela - tax revenues,I,VEN,Venezuela,TAX_REV,Tax revenue,S13,General government,T_4320,Gift taxes,_T,Total,VEF,Bolivar fuerte,A,Annual,2009,,0,,A,Normal value,6,Millions,4320,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_LAC@DF_REVVEN(2.0),Venezuela - tax revenues,I,VEN,Venezuela,TAX_REV,Tax revenue,S13,General government,T_5124,Taxes on exports,_T,Total,VEF,Bolivar fuerte,A,Annual,2009,,0,,A,Normal value,6,Millions,5124,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_LAC@DF_REVVEN(2.0),Venezuela - tax revenues,I,VEN,Venezuela,TAX_REV,Tax revenue,S13,General government,T_5124,Taxes on exports,_T,Total,VEF,Bolivar fuerte,A,Annual,2010,,0,,A,Normal value,6,Millions,5124,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_LAC@DF_REVVEN(2.0),Venezuela - tax revenues,I,VEN,Venezuela,TAX_REV,Tax revenue,S13,General government,T_4320,Gift taxes,_T,Total,VEF,Bolivar fuerte,A,Annual,2010,,0,,A,Normal value,6,Millions,4320,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_LAC@DF_REVVEN(2.0),Venezuela - tax revenues,I,VEN,Venezuela,TAX_REV,Tax revenue,S13,General government,T_4200,Recurrent taxes on net wealth,_T,Total,VEF,Bolivar fuerte,A,Annual,2010,,0,,A,Normal value,6,Millions,4200,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_LAC@DF_REVVEN(2.0),Venezuela - tax revenues,I,VEN,Venezuela,TAX_REV,Tax revenue,S13,General government,T_4500,Other non-recurrent taxes on property,_T,Total,VEF,Bolivar fuerte,A,Annual,2010,,0,,A,Normal value,6,Millions,4500,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_LAC@DF_REVVEN(2.0),Venezuela - tax revenues,I,VEN,Venezuela,TAX_REV,Tax revenue,S13,General government,T_5122,Profits of fiscal monopolies,_T,Total,VEF,Bolivar fuerte,A,Annual,2010,,0,,A,Normal value,6,Millions,5122,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_LAC@DF_REVVEN(2.0),Venezuela - tax revenues,I,VEN,Venezuela,TAX_REV,Tax revenue,S13,General government,T_5128,Other taxes on specific goods and services,_T,Total,VEF,Bolivar fuerte,A,Annual,2010,,0,,A,Normal value,6,Millions,5128,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_LAC@DF_REVVEN(2.0),Venezuela - tax revenues,I,VEN,Venezuela,TAX_REV,Tax revenue,S13,General government,T_5130,Unallocable between general taxes and taxes on specific goods and services,_T,Total,VEF,Bolivar fuerte,A,Annual,2010,,0,,A,Normal value,6,Millions,5130,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_LAC@DF_REVVEN(2.0),Venezuela - tax revenues,I,VEN,Venezuela,TAX_REV,Tax revenue,S13,General government,T_5300,"Unallocable between taxes on production, sale, transfer, leasing and delivery of goods and rendering of services and taxes on use of goods, or on permission to use goods, or perform activities",_T,Total,VEF,Bolivar fuerte,A,Annual,2010,,0,,A,Normal value,6,Millions,5300,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_LAC@DF_REVVEN(2.0),Venezuela - tax revenues,I,VEN,Venezuela,TAX_REV,Tax revenue,S13,General government,T_5200,"Taxes on use of goods, or on permission to use goods or perform activities",_T,Total,VEF,Bolivar fuerte,A,Annual,2010,,0,,A,Normal value,6,Millions,5200,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_LAC@DF_REVVEN(2.0),Venezuela - tax revenues,I,VEN,Venezuela,TAX_REV,Tax revenue,S13,General government,T_5125,Taxes on investment goods,_T,Total,VEF,Bolivar fuerte,A,Annual,2010,,0,,A,Normal value,6,Millions,5125,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_LAC@DF_REVVEN(2.0),Venezuela - tax revenues,I,VEN,Venezuela,TAX_REV,Tax revenue,S13,General government,T_4400,Taxes on financial and capital transactions,_T,Total,VEF,Bolivar fuerte,A,Annual,2010,,0,,A,Normal value,6,Millions,4400,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_LAC@DF_REVVEN(2.0),Venezuela - tax revenues,I,VEN,Venezuela,TAX_REV,Tax revenue,S13,General government,T_6000,Other taxes,_T,Total,VEF,Bolivar fuerte,A,Annual,2010,,0,,A,Normal value,6,Millions,6000,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_LAC@DF_REVVEN(2.0),Venezuela - tax revenues,I,VEN,Venezuela,TAX_REV,Tax revenue,S13,General government,T_5113,Turnover and other general taxes on goods and services,_T,Total,VEF,Bolivar fuerte,A,Annual,2010,,0,,A,Normal value,6,Millions,5113,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_LAC@DF_REVVEN(2.0),Venezuela - tax revenues,I,VEN,Venezuela,TAX_REV,Tax revenue,S13,General government,T_5112,Sales taxes,_T,Total,VEF,Bolivar fuerte,A,Annual,2010,,0,,A,Normal value,6,Millions,5112,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_LAC@DF_REVVEN(2.0),Venezuela - tax revenues,I,VEN,Venezuela,TAX_REV,Tax revenue,S13,General government,T_4600,Other recurrent taxes on property,_T,Total,VEF,Bolivar fuerte,A,Annual,2010,,0,,A,Normal value,6,Millions,4600,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_LAC@DF_REVVEN(2.0),Venezuela - tax revenues,I,VEN,Venezuela,TAX_REV,Tax revenue,S13,General government,T_4100,Recurrent taxes on immovable property,_T,Total,VEF,Bolivar fuerte,A,Annual,2010,,0,,A,Normal value,6,Millions,4100,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_LAC@DF_REVVEN(2.0),Venezuela - tax revenues,I,VEN,Venezuela,TAX_REV,Tax revenue,S13,General government,T_3000,Taxes on payroll and workforce,_T,Total,VEF,Bolivar fuerte,A,Annual,2010,,0,,A,Normal value,6,Millions,3000,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_LAC@DF_REVVEN(2.0),Venezuela - tax revenues,I,VEN,Venezuela,TAX_REV,Tax revenue,S13,General government,T_5127,Other taxes on international trade and transactions,_T,Total,VEF,Bolivar fuerte,A,Annual,2010,,0,,A,Normal value,6,Millions,5127,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_LAC@DF_REVVEN(2.0),Venezuela - tax revenues,I,VEN,Venezuela,TAX_REV,Tax revenue,S13,General government,T_5127,Other taxes on international trade and transactions,_T,Total,VEF,Bolivar fuerte,A,Annual,2011,,0,,A,Normal value,6,Millions,5127,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_LAC@DF_REVVEN(2.0),Venezuela - tax revenues,I,VEN,Venezuela,TAX_REV,Tax revenue,S13,General government,T_3000,Taxes on payroll and workforce,_T,Total,VEF,Bolivar fuerte,A,Annual,2011,,0,,A,Normal value,6,Millions,3000,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_LAC@DF_REVVEN(2.0),Venezuela - tax revenues,I,VEN,Venezuela,TAX_REV,Tax revenue,S13,General government,T_4100,Recurrent taxes on immovable property,_T,Total,VEF,Bolivar fuerte,A,Annual,2011,,0,,A,Normal value,6,Millions,4100,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_LAC@DF_REVVEN(2.0),Venezuela - tax revenues,I,VEN,Venezuela,TAX_REV,Tax revenue,S13,General government,T_4600,Other recurrent taxes on property,_T,Total,VEF,Bolivar fuerte,A,Annual,2011,,0,,A,Normal value,6,Millions,4600,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_LAC@DF_REVVEN(2.0),Venezuela - tax revenues,I,VEN,Venezuela,TAX_REV,Tax revenue,S13,General government,T_5112,Sales taxes,_T,Total,VEF,Bolivar fuerte,A,Annual,2011,,0,,A,Normal value,6,Millions,5112,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_LAC@DF_REVVEN(2.0),Venezuela - tax revenues,I,VEN,Venezuela,TAX_REV,Tax revenue,S13,General government,T_5113,Turnover and other general taxes on goods and services,_T,Total,VEF,Bolivar fuerte,A,Annual,2011,,0,,A,Normal value,6,Millions,5113,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_LAC@DF_REVVEN(2.0),Venezuela - tax revenues,I,VEN,Venezuela,TAX_REV,Tax revenue,S13,General government,T_4400,Taxes on financial and capital transactions,_T,Total,VEF,Bolivar fuerte,A,Annual,2011,,0,,A,Normal value,6,Millions,4400,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_LAC@DF_REVVEN(2.0),Venezuela - tax revenues,I,VEN,Venezuela,TAX_REV,Tax revenue,S13,General government,T_5125,Taxes on investment goods,_T,Total,VEF,Bolivar fuerte,A,Annual,2011,,0,,A,Normal value,6,Millions,5125,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_LAC@DF_REVVEN(2.0),Venezuela - tax revenues,I,VEN,Venezuela,TAX_REV,Tax revenue,S13,General government,T_6100,Other taxes paid solely by business,_T,Total,VEF,Bolivar fuerte,A,Annual,2011,,0,,A,Normal value,6,Millions,6100,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_LAC@DF_REVVEN(2.0),Venezuela - tax revenues,I,VEN,Venezuela,TAX_REV,Tax revenue,S13,General government,T_5200,"Taxes on use of goods, or on permission to use goods or perform activities",_T,Total,VEF,Bolivar fuerte,A,Annual,2011,,0,,A,Normal value,6,Millions,5200,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_LAC@DF_REVVEN(2.0),Venezuela - tax revenues,I,VEN,Venezuela,TAX_REV,Tax revenue,S13,General government,T_5300,"Unallocable between taxes on production, sale, transfer, leasing and delivery of goods and rendering of services and taxes on use of goods, or on permission to use goods, or perform activities",_T,Total,VEF,Bolivar fuerte,A,Annual,2011,,0,,A,Normal value,6,Millions,5300,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_LAC@DF_REVVEN(2.0),Venezuela - tax revenues,I,VEN,Venezuela,TAX_REV,Tax revenue,S13,General government,T_5130,Unallocable between general taxes and taxes on specific goods and services,_T,Total,VEF,Bolivar fuerte,A,Annual,2011,,0,,A,Normal value,6,Millions,5130,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_LAC@DF_REVVEN(2.0),Venezuela - tax revenues,I,VEN,Venezuela,TAX_REV,Tax revenue,S13,General government,T_5128,Other taxes on specific goods and services,_T,Total,VEF,Bolivar fuerte,A,Annual,2011,,0,,A,Normal value,6,Millions,5128,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_LAC@DF_REVVEN(2.0),Venezuela - tax revenues,I,VEN,Venezuela,TAX_REV,Tax revenue,S13,General government,T_5122,Profits of fiscal monopolies,_T,Total,VEF,Bolivar fuerte,A,Annual,2011,,0,,A,Normal value,6,Millions,5122,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_LAC@DF_REVVEN(2.0),Venezuela - tax revenues,I,VEN,Venezuela,TAX_REV,Tax revenue,S13,General government,T_4500,Other non-recurrent taxes on property,_T,Total,VEF,Bolivar fuerte,A,Annual,2011,,0,,A,Normal value,6,Millions,4500,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_LAC@DF_REVVEN(2.0),Venezuela - tax revenues,I,VEN,Venezuela,TAX_REV,Tax revenue,S13,General government,T_4200,Recurrent taxes on net wealth,_T,Total,VEF,Bolivar fuerte,A,Annual,2011,,0,,A,Normal value,6,Millions,4200,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_LAC@DF_REVVEN(2.0),Venezuela - tax revenues,I,VEN,Venezuela,TAX_REV,Tax revenue,S13,General government,T_4320,Gift taxes,_T,Total,VEF,Bolivar fuerte,A,Annual,2011,,0,,A,Normal value,6,Millions,4320,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_LAC@DF_REVVEN(2.0),Venezuela - tax revenues,I,VEN,Venezuela,TAX_REV,Tax revenue,S13,General government,T_5124,Taxes on exports,_T,Total,VEF,Bolivar fuerte,A,Annual,2011,,0,,A,Normal value,6,Millions,5124,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_LAC@DF_REVVEN(2.0),Venezuela - tax revenues,I,VEN,Venezuela,TAX_REV,Tax revenue,S13,General government,T_5124,Taxes on exports,_T,Total,VEF,Bolivar fuerte,A,Annual,2012,,0,,A,Normal value,6,Millions,5124,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_LAC@DF_REVVEN(2.0),Venezuela - tax revenues,I,VEN,Venezuela,TAX_REV,Tax revenue,S13,General government,T_4320,Gift taxes,_T,Total,VEF,Bolivar fuerte,A,Annual,2012,,0,,A,Normal value,6,Millions,4320,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_LAC@DF_REVVEN(2.0),Venezuela - tax revenues,I,VEN,Venezuela,TAX_REV,Tax revenue,S13,General government,T_4200,Recurrent taxes on net wealth,_T,Total,VEF,Bolivar fuerte,A,Annual,2012,,0,,A,Normal value,6,Millions,4200,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_LAC@DF_REVVEN(2.0),Venezuela - tax revenues,I,VEN,Venezuela,TAX_REV,Tax revenue,S13,General government,T_4500,Other non-recurrent taxes on property,_T,Total,VEF,Bolivar fuerte,A,Annual,2012,,0,,A,Normal value,6,Millions,4500,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_LAC@DF_REVVEN(2.0),Venezuela - tax revenues,I,VEN,Venezuela,TAX_REV,Tax revenue,S13,General government,T_5122,Profits of fiscal monopolies,_T,Total,VEF,Bolivar fuerte,A,Annual,2012,,0,,A,Normal value,6,Millions,5122,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_LAC@DF_REVVEN(2.0),Venezuela - tax revenues,I,VEN,Venezuela,TAX_REV,Tax revenue,S13,General government,T_5128,Other taxes on specific goods and services,_T,Total,VEF,Bolivar fuerte,A,Annual,2012,,0,,A,Normal value,6,Millions,5128,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_LAC@DF_REVVEN(2.0),Venezuela - tax revenues,I,VEN,Venezuela,TAX_REV,Tax revenue,S13,General government,T_5130,Unallocable between general taxes and taxes on specific goods and services,_T,Total,VEF,Bolivar fuerte,A,Annual,2012,,0,,A,Normal value,6,Millions,5130,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_LAC@DF_REVVEN(2.0),Venezuela - tax revenues,I,VEN,Venezuela,TAX_REV,Tax revenue,S13,General government,T_5300,"Unallocable between taxes on production, sale, transfer, leasing and delivery of goods and rendering of services and taxes on use of goods, or on permission to use goods, or perform activities",_T,Total,VEF,Bolivar fuerte,A,Annual,2012,,0,,A,Normal value,6,Millions,5300,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_LAC@DF_REVVEN(2.0),Venezuela - tax revenues,I,VEN,Venezuela,TAX_REV,Tax revenue,S13,General government,T_5200,"Taxes on use of goods, or on permission to use goods or perform activities",_T,Total,VEF,Bolivar fuerte,A,Annual,2012,,0,,A,Normal value,6,Millions,5200,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_LAC@DF_REVVEN(2.0),Venezuela - tax revenues,I,VEN,Venezuela,TAX_REV,Tax revenue,S13,General government,T_6100,Other taxes paid solely by business,_T,Total,VEF,Bolivar fuerte,A,Annual,2012,,0,,A,Normal value,6,Millions,6100,,0,Zero
